"","obs","study","id","yieldcontrol","yieldcover","SD.EXP.","SD.CON.","Type","N.control.","N.exp.","Dferror","Species","Nitrogen","Years","Tillage","killdate","State","BioOrGrain","authors","pubyear","datayears","Design","Reps","SoilType","corn.cultivar","corn.pl.date.actual","corn.pl.date.julian","corn.hv.date.actual","corn.hv.date.julian","corn.population","corn.growseason.julian","X","cc.cultivar","cc.pl.date.actual","cc.pl.date.julian","cc.pl.method","cc.seed.rate.seeds.ha","cc.seed.rate.kg.ha","cc.kill.date.dbplcorn","cc.kill.date.actual","cc.kill.date.julian","cc.growseason.julian","cc.kill.method","cc.bmass","corn.bmass","cc.rain","corn.rain","cc.temp","corn.temp","cc.nitro.uptake","purpose.study","metaA","region","soiltexture.authors","soiltexture.ours","NFR","KDate","yi","vi"
"92",79,"f1","1b",9.45,14.45,2.08726,2.91719,"legume",4,4,9,"",0,4,"CT",14,"Washington","biomass","Kuo, Jellum",2002,"1994, 1995, 1997, 1998","RCBD 3 reps",3,"fine-silty mixed mesic Aquantic Xerochrept","Pioneer3846","5/30/2016",150,"9/25/2016",268,91000,118,"","unstated","10/7/2016",280,"drilling",1004080,28,15,"5/15/2016",135,220,"chemical",1.62,NA,NA,NA,NA,NA,35.19,"Effect of CC on soiL management and corn","F","north west","fine","medium fine","low","early",0.42467967305279,0.0290397523691084
"93",80,"f1","1c",9.45,12.06,2.6161,2.91719,"biculture",4,4,9,"",0,4,"CT",14,"Washington","biomass","Kuo, Jellum",2002,"1994, 1995, 1997, 1998","RCBD 3 reps",3,"fine-silty mixed mesic Aquantic Xerochrept","Pioneer3846","5/30/2016",150,"9/25/2016",268,91000,118,"","unstated","10/7/2016",280,"drilling",4895550,129,15,"5/15/2016",135,220,"chemical",1.62,NA,NA,NA,NA,NA,35.19,"Effect of CC on soiL management and corn","F","north west","fine","medium fine","low","early",0.243879449793388,0.0355874886746854
"94",81,"f2","2a",17.31,16.73,5.8629,5.65621,"legume",2,2,11,"",0,2,"CT",14,"Georgia","biomass","Sainju, Singh",2001,"1998, 1999","Split-split 3 reps",3,"fine-loamy siliceous thermic Plinthic Paleudult","McNair 508","4/24/2016",114,"8/17/2016",229,70000,115,"",NA,"10/10/2016",283,"drilling",1004080,28,14,"4/10/2016",100,182,"chemical",2.96,16.47,NA,NA,NA,NA,99,"Tillage, CC and killing date effect on corn","F","south east","fine","medium","low","early",-0.0340808541893852,0.114790852627747
"95",82,"f2","2b",17.2,19.73,5.25444,5.30346,"legume",2,2,11,"",0,2,"NT",14,"Georgia","biomass","Sainju, Singh",2001,"1998, 1999","Split-split 3 reps",3,"fine-loamy siliceous thermic Plinthic Paleudult","McNair 508","4/24/2016",114,"8/17/2016",229,70000,115,"",NA,"10/10/2016",283,"drilling",1004080,28,14,"4/10/2016",100,182,"chemical",2.96,16.47,NA,NA,NA,NA,99,"Tillage, CC and killing date effect on corn","F","south east","fine","medium","low","early",0.137230936215117,0.0829994406199474
"96",83,"f3","3a",5.95,5.57,0.77782,0.35355,"grass",2,2,12,"",0,2,"CT",NA,"New York","grain","Hivley, Cox",2001,"1995, 1996","RCBD 4 reps",4,"Fine-loamy mixed mesic Glossoboric Hapluadalf","Pioneer 3790","5/25/2016",145,NA,NA,60000,NA,"",NA,"10/15/2016",288,"interseeding",5842650,75,1,"5/26/2016",146,223,"chemical",0.6,NA,NA,NA,NA,NA,NA,"Interseeding CC in to corn","F","north east","fine","medium","low",NA,-0.0659961656183457,0.0115156747612555
"97",84,"f3","3b",5.95,6.43,0.28284,0.35355,"legume",2,2,12,"",0,2,"CT",NA,"New York","grain","Hivley, Cox",2001,"1995, 1996","RCBD 4 reps",4,"Fine-loamy mixed mesic Glossoboric Hapluadalf","Pioneer 3790","5/25/2016",145,NA,NA,60000,NA,"",NA,"10/15/2016",288,"interseeding",5621000,15,1,"5/26/2016",146,223,"chemical",0.6,NA,NA,NA,NA,NA,NA,"Interseeding CC in to corn","F","north east","fine","medium","low",NA,0.0775833186919896,0.00273283083006286
"98",85,"f4","4a",9.64,8.6,3.1459,3.21945,"grass",9,9,21,"",0,9,"CT",14,"Washington","biomass","Kuo, Jellum",2000,"1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1996","RCBD 3 reps",3,"fine-silty mixed mesic Aquantic Xerochrept","Noethern King PX9903, Pioneer 3846","5/14/2016",134,"9/14/2016",257,91000,123,"","Tetra petkus, Billion","9/15/2016",258,"drilling",6526520,163,14,"4/30/2016",120,227,"mechanical",2.06,14.27,NA,NA,NA,NA,38.28,"long term c.c effect on corn","F","north west","fine","medium fine","low","early",-0.114158905362992,0.0272606512341192
"99",86,"f4","4b",9.64,14.21,3.52834,3.21945,"legume",9,9,21,"",0,9,"CT",14,"Washington","biomass","Kuo, Jellum",2000,"1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1997","RCBD 3 reps",3,"fine-silty mixed mesic Aquantic Xerochrept","Noethern King PX9903, Pioneer 3846","5/14/2016",134,"9/14/2016",257,91000,123,"","Tetra petkus, Billion","9/15/2016",258,"drilling",1290960,36,14,"4/30/2016",120,227,"mechanical",2.06,14.27,NA,NA,NA,NA,38.28,"long term c.c effect on corn","F","north west","fine","medium fine","low","early",0.388024833486555,0.0192430338738555
"100",87,"f5","5c",6.54,6.48,0.03536,0.33234,"grass",2,2,12,"",0,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Barspectra, Common","7/20/2016",201,"drilling",1048300,35,14,"5/1/2016",121,285,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",-0.00921665510492395,0.00130604731466046
"101",88,"f5","5d",9.08,9.33,0.70711,0.64347,"grass",2,2,12,"",150,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Barspectra, Common","7/20/2016",201,"drilling",1048300,35,14,"5/1/2016",121,285,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",0.0271608222460505,0.0053830225571513
"102",89,"f5","5e",6.37,5.51,0.90156,1.23037,"grass",2,2,12,"",0,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Barspectra, Common","7/20/2016",201,"drilling",1048300,35,14,"5/1/2016",121,285,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",-0.145034846419249,0.032039759693958
"103",90,"f5","5f",9.38,8.96,0.27931,0.24042,"grass",2,2,12,"",150,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Barspectra, Common","7/20/2016",201,"drilling",1048300,35,14,"5/1/2016",121,285,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",-0.0458095360312942,0.00081435510034765
"104",91,"f5","5g",6.54,8.21,0.64347,0.33234,"legume",2,2,12,"",0,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex, Walter","4/17/2016",107,"broadcast",8982600,15,14,"5/1/2016",121,379,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",0.22741575799523,0.00436258674458002
"105",92,"f5","5h",9.08,9.3,0.00707,0.64347,"legume",2,2,12,"",150,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex, Walter","4/17/2016",107,"broadcast",8982600,15,14,"5/1/2016",121,379,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",0.0239402075460084,0.00251133638882155
"106",93,"f5","5i",6.37,7.86,0.76014,1.23037,"legume",2,2,12,"",0,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex, Walter","4/17/2016",107,"broadcast",8982600,15,14,"5/1/2016",121,379,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",0.210187136857043,0.0233300023660044
"107",94,"f5","5j",9.38,9.5,0.24042,0.24042,"legume",2,2,12,"",150,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"sandy mixed alkaline strongly clacareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex, Walter","4/17/2016",107,"broadcast",8982600,15,14,"5/1/2016",121,379,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",0.0127120355883617,0.000648708862377414
"108",95,"f5","5k",6.99,6.78,1.84555,1.28693,"grass",2,2,12,"",0,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Common","6/15/2016",166,"drilling",1048300,35,14,"5/1/2016",121,320,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",-0.0305034542934146,0.0539960600502969
"109",96,"f5","5l",9.7,9.61,0.02828,0.14849,"grass",2,2,12,"",150,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Common","6/15/2016",166,"drilling",1048300,35,14,"5/1/2016",121,320,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",-0.00932166252713598,0.000121501161180927
"110",97,"f5","5m",6.27,5.25,1.08541,1.76777,"grass",2,2,12,"",0,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Common","6/15/2016",166,"drilling",1048300,35,14,"5/1/2016",121,320,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",-0.177548278041297,0.0611170588803618
"111",98,"f5","5n",9.15,9.68,0.1591,0.26163,"grass",2,2,12,"",150,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Fiesta, Barmultra, Common","6/15/2016",166,"drilling",1048300,35,14,"5/1/2016",121,320,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",0.0563080220010557,0.000543862713508955
"112",99,"f5","5o",6.99,9.04,0.35355,1.28693,"legume",2,2,12,"",0,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex","4/23/2016",113,"broadcast",8982600,15,14,"5/1/2016",121,373,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",0.257178618158366,0.0177130520372515
"113",100,"f5","5p",9.7,9.79,0.0495,0.14849,"legume",2,2,12,"",150,2,"CT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex","4/23/2016",113,"broadcast",8982600,15,14,"5/1/2016",121,373,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",0.00923557103308184,0.000129953696536981
"114",101,"f5","5q",6.27,7.95,0.56922,1.76777,"legume",2,2,12,"",0,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex","4/23/2016",113,"broadcast",8982600,15,14,"5/1/2016",121,373,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","low","mid",0.237395574021411,0.0423086405928334
"115",102,"f5","5r",9.15,9.46,0.43134,0.26163,"legume",2,2,12,"",150,2,"NT",9,"Ontario","grain","Vyn, Janovicek, Miller, Beauchamp",1999,"1994, 1995","RCBD split 4 reps",4,"medium mixed weakly to moderately calcareous Typic Hapludalf","Pioneer 3790","5/15/2016",135,"11/20/2016",324,74000,189,"","Florex","4/23/2016",113,"broadcast",8982600,15,14,"5/1/2016",121,373,"mechanical",NA,NA,NA,NA,NA,NA,NA,"Evaluate CC N availability to corn","F","canada","coarse","coarse","mid","mid",0.0333185037763569,0.0014482989571015
"116",103,"f6","7c",2.13,1.13,1.41421,2.47487,"grass",2,2,12,"",0,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",-0.633904346997085,1.45816108931629
"117",104,"f6","7d",2.13,5.63,2.82843,2.47487,"legume",2,2,12,"",0,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",0.971987462430265,0.80121391413117
"118",105,"f6","7e",5,3,0.70711,1.41421,"grass",2,2,12,"",56,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",-0.510825623765991,0.0677778291542222
"119",106,"f6","7f",5,6.75,0.70711,1.41421,"legume",2,2,12,"",56,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",0.300104592450338,0.0454868168863896
"120",107,"f6","7g",6.1,6.13,0.35355,1.06066,"grass",2,2,12,"",112,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.00490597876885441,0.0167801231435366
"121",108,"f6","7h",6.1,6.88,0.35355,1.06066,"legume",2,2,12,"",112,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.120329880765987,0.0164372666162632
"122",109,"f6","7i",6.25,7.3,0.70711,2.12132,"grass",2,2,12,"",168,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.155292884406035,0.0622913357441086
"123",110,"f6","7j",6.25,7.65,2.12132,2.12132,"legume",2,2,12,"",168,2,"CT",8,"Alabama","grain","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.202124184090134,0.0960467201389095
"124",111,"f6","7n",5.75,4,1.23744,2.2981,"grass",2,2,12,"",0,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",-0.362905493689368,0.127719685480529
"125",112,"f6","7o",5.75,11.5,2.65165,2.2981,"legume",2,2,12,"",0,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",0.693147180559945,0.106451047873346
"126",113,"f6","7p",11,8.5,2.12132,2.12132,"grass",2,2,12,"",56,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",-0.2578291093021,0.049736893724087
"127",114,"f6","7q",11,13.5,1.41421,2.12132,"legume",2,2,12,"",56,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","low","mid",0.204794412646013,0.0240819761060323
"128",115,"f6","7r",12.25,13.75,1.94454,0.14142,"grass",2,2,12,"",112,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.115512887121844,0.0100666000992827
"129",116,"f6","7s",12.25,13.25,1.23744,0.14142,"legume",2,2,12,"",112,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.0784716154414953,0.00442764226055828
"130",117,"f6","7t",12.5,15.5,0.98995,0.35355,"grass",2,2,12,"",168,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5165160,129,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.215111379616945,0.00243953655796878
"131",118,"f6","7u",12.5,14.5,0.21213,0.35355,"legume",2,2,12,"",168,2,"CT",8,"Alabama","biomass","Torbert, Reeves, Mulvaney",1996,"1990, 1991","Split-plot 4 reps",4,"fine loamy siliceous thermic Typic Kandiudult","Dekalb 689","5/15/2016",135,NA,NA,59000,NA,"","Tibbee","10/10/2016",283,"drilling",5602520,17,8,"4/7/2016",97,179,"chemical",3.8,NA,NA,NA,NA,NA,82.12,"winter legume c.c on corn","F","south east","fine","medium","mid","mid",0.148420005118273,0.000507005733231867
"132",119,"f7","9b",14.58,13.03,1.951922,1.951922,"grass",3,3,12,"",170,3,"CT",3,"Ontario","biomass","Raimbault, Vyn, Tollenaar",1990,"1982, 1983, 1984","RCBD-fact 4 reps",4,"Typic Hapludalf","PAG SX111, Pioneer 381","5/27/2016",147,"9/20/2016",262,93000,115,"","Wheeler","10/1/2016",274,"drilling",6006000,150,1,"5/26/2016",146,237,"chemical",1.95,13.05,NA,NA,NA,NA,NA,"Corn response to Rye management and tillage","F","canada","coarse","coarse","mid","late",-0.112396335443758,0.0134545497872937
"133",120,"f8","10a",3.03,6.57,0.87369,1.15902,"legume",3,3,6,"",0,3,"NT",9,"Maryland","grain","Holderbaum, Decker, Meisinger, Mulford, Vough",1990,"1984, 1985, 1986","Split-block 6 reps",6,"fine-silty mixed mesic Typic Hapludult","Pioneer 3184","5/11/2016",131,"9/10/2016",253,53000,122,"",NA,"9/16/2016",259,"drilling",6261640,19,8,"5/3/2016",123,229,"chemical",3.8,14.03,NA,NA,NA,NA,130,"Harvest management of CC on corn","F","north east","fine","coarse","low","mid",0.773951212975241,0.0546672511642737
"134",121,"f8","10b",6.63,7.9,1.95192,1.26623,"legume",3,3,6,"",90,3,"NT",9,"Maryland","grain","Holderbaum, Decker, Meisinger, Mulford, Vough",1990,"1984, 1985, 1986","Split-block 6 reps",6,"fine-silty mixed mesic Typic Hapludult","Pioneer 3184","5/11/2016",131,"9/10/2016",253,53000,122,"",NA,"9/16/2016",259,"drilling",6261640,19,8,"5/3/2016",123,229,"chemical",3.8,14.03,NA,NA,NA,NA,130,"Harvest management of CC on corn","F","north east","fine","coarse","low","mid",0.175257955275205,0.0325076714392423
"135",122,"f8","10d",8.6,14.47,2.9023,2.09523,"legume",3,3,6,"",0,3,"NT",9,"Maryland","biomass","Holderbaum, Decker, Meisinger, Mulford, Vough",1990,"1984, 1985, 1986","Split-block 6 reps",6,"fine-silty mixed mesic Typic Hapludult","Pioneer 3184","5/11/2016",131,"9/10/2016",253,53000,122,"",NA,"9/16/2016",259,"drilling",6261640,19,8,"5/3/2016",123,229,"chemical",3.8,14.03,NA,NA,NA,NA,130,"Harvest management of CC on corn","F","north east","fine","coarse","low","mid",0.520315337383931,0.0331953420127876
"136",123,"f8","10e",14.6,16.67,3.49333,1.2,"legume",3,3,6,"",90,3,"NT",9,"Maryland","biomass","Holderbaum, Decker, Meisinger, Mulford, Vough",1990,"1984, 1985, 1986","Split-block 6 reps",6,"fine-silty mixed mesic Typic Hapludult","Pioneer 3184","5/11/2016",131,"9/10/2016",253,53000,122,"",NA,"9/16/2016",259,"drilling",6261640,19,8,"5/3/2016",123,229,"chemical",3.8,14.03,NA,NA,NA,NA,130,"Harvest management of CC on corn","F","north east","fine","coarse","low","mid",0.132589168048412,0.0168899991448993
"137",124,"f9","11c",5.52,5.14,2.58094,2.8355,"grass",2,2,32,"",0,2,"NT",15,"North Carolina","grain","Wagger",1989,"1984, 1985","Split-split 4 reps",4,"fine mixed thermic Ultic Hapludalf and clayey kaolinitic thermic Typic Hapludult","Pioneer 4522","4/26/2016",116,NA,NA,59000,NA,"","Wrens Abruzzi","10/6/2016",279,"drilling",3203200,80,1,"4/27/2016",115,203,"chemical",5.33,14.89,NA,NA,NA,NA,124,"Time of desiccation on plant and N releasefrom WCC","F","south east","fine","coarse","low","early",-0.0713247808219302,0.257998773002478
"138",125,"f9","11d",7.05,7.22,2.47487,3.40825,"grass",2,2,32,"",100,2,"NT",15,"North Carolina","grain","Wagger",1989,"1984, 1985","Split-split 4 reps",4,"fine mixed thermic Ultic Hapludalf and clayey kaolinitic thermic Typic Hapludult","Pioneer 4522","4/26/2016",116,NA,NA,59000,NA,"","Wrens Abruzzi","10/6/2016",279,"drilling",3203200,80,1,"4/27/2016",115,203,"chemical",5.33,14.89,NA,NA,NA,NA,124,"Time of desiccation on plant and N releasefrom WCC","F","south east","fine","coarse","mid","early",0.0238273360805575,0.175605967891639
"139",126,"f9","11e",7.35,8.11,2.63044,3.59917,"grass",2,2,32,"",200,2,"NT",15,"North Carolina","grain","Wagger",1989,"1984, 1985","Split-split 4 reps",4,"fine mixed thermic Ultic Hapludalf and clayey kaolinitic thermic Typic Hapludult","Pioneer 4522","4/26/2016",116,NA,NA,59000,NA,"","Wrens Abruzzi","10/6/2016",279,"drilling",3203200,80,1,"4/27/2016",115,203,"chemical",5.33,14.89,NA,NA,NA,NA,124,"Time of desiccation on plant and N releasefrom WCC","F","south east","fine","coarse","high","early",0.0983975549025762,0.172494638411953
